Variable:,tasmin
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
India,18.15,10.31,11.94,16.26,20.51,23.38,24.10,23.21,22.70,21.72,18.79,13.94,10.55
"Madhya Pradesh",18.80,10.12,11.79,16.91,22.08,26.12,26.23,23.94,23.21,22.40,18.95,13.44,10.04
Jharkhand,18.68,9.87,12.02,16.69,21.55,24.19,25.03,24.15,23.89,23.17,19.85,13.83,9.55
"Andaman and Nicobar",24.17,23.16,22.87,23.29,24.65,24.81,24.70,24.75,24.74,24.26,24.15,24.52,24.01
Chhattisgarh,19.40,11.96,14.10,18.32,22.60,25.79,25.29,23.28,23.07,22.66,19.80,14.53,11.16
"Administrative unit not available",3.02,-6.98,-6.53,-1.29,3.23,6.51,10.48,13.35,12.80,8.43,3.12,-2.29,-5.32
Chandigarh,16.50,5.73,7.27,12.64,18.02,22.57,25.57,25.22,24.62,22.42,17.07,10.02,6.29
"Administrative unit not available",1.33,-8.97,-8.28,-3.23,1.48,4.82,8.89,11.85,11.36,6.77,1.43,-3.78,-7.05
"Daman and Diu",20.95,14.17,14.73,18.58,21.79,25.06,26.55,25.49,24.67,23.74,22.10,18.75,15.44
"Administrative unit not available",-6.78,-17.90,-17.53,-11.74,-6.85,-3.98,0.95,4.17,3.98,-0.45,-6.01,-11.67,-15.13
"Dadra and Nagar Haveli",20.10,13.53,14.26,18.34,21.96,24.82,24.95,23.74,23.26,22.68,21.19,17.60,14.59
"Administrative unit not available",-9.81,-21.82,-20.96,-15.05,-9.99,-6.79,-1.36,2.48,2.35,-2.61,-9.42,-15.79,-19.54
"Administrative unit not available",14.35,3.47,4.87,10.12,15.36,20.05,23.41,24.30,23.63,20.55,14.41,7.65,3.79
"Administrative unit not available",3.97,-5.74,-5.39,-0.38,4.16,7.54,11.36,14.04,13.41,9.12,4.14,-1.12,-4.23
Bihar,18.99,9.17,10.95,15.75,21.00,24.14,25.69,25.61,25.42,24.68,21.14,14.24,9.62
"Administrative unit not available",-0.09,-10.31,-10.02,-4.55,0.04,3.10,7.38,10.04,9.64,5.61,0.48,-5.02,-8.16
"Arunachal Pradesh",13.57,4.91,7.15,10.40,13.26,16.65,19.49,20.36,20.31,19.09,15.43,9.95,5.45
"Administrative unit not available",2.65,-7.33,-6.90,-1.71,2.84,6.13,10.08,12.93,12.39,8.00,2.81,-2.51,-5.59
"West Bengal",20.14,11.70,13.90,18.47,22.45,24.23,25.14,25.16,25.12,24.68,22.09,16.52,11.91
Maharashtra,19.76,13.96,15.20,19.26,23.00,25.24,24.24,22.70,22.17,21.63,19.93,16.01,13.49
Lakshadweep,23.98,22.77,22.96,23.99,25.24,25.22,24.44,24.18,24.08,24.01,24.00,23.66,23.22
"Administrative unit not available",6.21,-3.83,-3.11,1.81,6.52,10.32,14.09,16.13,15.55,11.59,6.37,0.94,-2.46
"Administrative unit not available",10.72,0.41,1.27,6.52,11.46,15.53,18.99,20.45,19.93,16.53,10.92,4.71,1.26
Kerala,21.64,19.83,20.57,22.07,23.36,23.22,22.16,21.56,21.71,21.81,21.76,21.33,20.21
Karnataka,19.92,16.32,17.73,20.39,22.52,22.79,21.81,21.17,20.90,20.57,20.26,18.12,16.31
"Himachal Pradesh",2.56,-7.33,-6.84,-1.69,2.92,6.47,10.16,11.83,11.44,8.22,3.10,-2.54,-5.69
Haryana,18.15,6.70,8.73,14.42,20.27,25.01,27.84,26.91,25.92,24.00,18.72,11.57,7.19
Gujarat,20.07,11.54,13.08,17.97,22.21,25.43,26.57,25.46,24.38,23.41,21.09,16.56,12.74
Uttarakhand,7.54,-1.86,-1.00,3.61,8.40,12.07,14.83,15.71,15.29,12.98,8.08,2.52,-0.74
Goa,21.47,17.85,18.39,21.08,23.49,24.61,23.48,22.89,22.69,22.28,22.08,20.10,18.58
"Uttar Pradesh",18.61,8.09,9.91,15.16,21.00,25.25,27.36,26.09,25.38,24.18,19.52,12.61,8.28
Nagaland,14.49,6.28,8.01,11.06,14.37,17.40,19.91,20.47,20.55,19.69,16.78,11.76,7.26
Mizoram,17.68,10.34,11.31,15.46,18.78,20.59,21.60,22.14,21.97,21.79,19.90,15.97,11.96
Meghalaya,17.41,9.42,10.94,14.95,18.24,20.02,21.89,22.85,22.86,22.24,19.64,14.94,10.59
